,DISTRICT_NAME,Value,Crop,Metric,Year
122,Nuwakot,90,BARLEY,AREA,1919-8081
123,Okhaldhunga,150,BARLEY,AREA,1919-8081
124,Palpa,70,BARLEY,AREA,1919-8081
125,Panchthar,50,BARLEY,AREA,1919-8081
126,Parbat,300,BARLEY,AREA,1919-8081
127,Parsa,150,BARLEY,AREA,1919-8081
128,Pyuthan,150,BARLEY,AREA,1919-8081
129,Ramechhap,90,BARLEY,AREA,1919-8081
130,Rasuwa,400,BARLEY,AREA,1919-8081
131,Rautahat,2400,BARLEY,AREA,1919-8081
132,Rolpa,490,BARLEY,AREA,1919-8081
133,Rukum,690,BARLEY,AREA,1919-8081
134,Rupandehi,340,BARLEY,AREA,1919-8081
135,Salyan,1140,BARLEY,AREA,1919-8081
136,Sankhuwasabha,240,BARLEY,AREA,1919-8081
137,Saptari,80,BARLEY,AREA,1919-8081
138,Sarlahi,320,BARLEY,AREA,1919-8081
139,Sindhuli,220,BARLEY,AREA,1919-8081
140,Sindhupalchok,300,BARLEY,AREA,1919-8081
141,Siraha,100,BARLEY,AREA,1919-8081
142,Solukhumbu,550,BARLEY,AREA,1919-8081
143,Sunsari,50,BARLEY,AREA,1919-8081
144,Surkhet,1210,BARLEY,AREA,1919-8081
145,Syangja,40,BARLEY,AREA,1919-8081
146,Tanahu,60,BARLEY,AREA,1919-8081
147,Taplejung,130,BARLEY,AREA,1919-8081
148,Tehrathum,130,BARLEY,AREA,1919-8081
149,Udayapur,90,BARLEY,AREA,1919-8081
150,Achham,500,BARLEY,AREA,1919-8182
151,Arghakhanchi,300,BARLEY,AREA,1919-8182
152,Baglung,200,BARLEY,AREA,1919-8182
153,Baitadi,500,BARLEY,AREA,1919-8182
154,Bajhang,710,BARLEY,AREA,1919-8182
155,Bajura,800,BARLEY,AREA,1919-8182
156,Banke,100,BARLEY,AREA,1919-8182
157,Bara,190,BARLEY,AREA,1919-8182
158,Bardiya,40,BARLEY,AREA,1919-8182
159,Bhaktapur,20,BARLEY,AREA,1919-8182
160,Bhojpur,60,BARLEY,AREA,1919-8182
161,Chitwan,90,BARLEY,AREA,1919-8182
162,Dadeldhura,600,BARLEY,AREA,1919-8182
163,Dailekh,700,BARLEY,AREA,1919-8182
164,Dang,450,BARLEY,AREA,1919-8182
165,Darchula,1600,BARLEY,AREA,1919-8182
166,Dhading,250,BARLEY,AREA,1919-8182
167,Dhankuta,30,BARLEY,AREA,1919-8182
168,Dhanusa,870,BARLEY,AREA,1919-8182
169,Dolakha,90,BARLEY,AREA,1919-8182
170,Dolpa,480,BARLEY,AREA,1919-8182
171,Doti,400,BARLEY,AREA,1919-8182
172,Gorkha,240,BARLEY,AREA,1919-8182
173,Gulmi,440,BARLEY,AREA,1919-8182
174,Humla,150,BARLEY,AREA,1919-8182
175,Ilam,10,BARLEY,AREA,1919-8182
176,Jajarkot,800,BARLEY,AREA,1919-8182
177,Jhapa,50,BARLEY,AREA,1919-8182
