,DISTRICT_NAME,Value,Crop,Metric,Year
3303,Baitadi,400,BARLEY,PRODUCTION,1919-8182
3304,Bajhang,640,BARLEY,PRODUCTION,1919-8182
3305,Bajura,680,BARLEY,PRODUCTION,1919-8182
3306,Banke,90,BARLEY,PRODUCTION,1919-8182
3307,Bara,190,BARLEY,PRODUCTION,1919-8182
3308,Bardiya,40,BARLEY,PRODUCTION,1919-8182
3309,Bhaktapur,20,BARLEY,PRODUCTION,1919-8182
3310,Bhojpur,50,BARLEY,PRODUCTION,1919-8182
3311,Chitwan,70,BARLEY,PRODUCTION,1919-8182
3312,Dadeldhura,540,BARLEY,PRODUCTION,1919-8182
3313,Dailekh,560,BARLEY,PRODUCTION,1919-8182
3314,Dang,400,BARLEY,PRODUCTION,1919-8182
3315,Darchula,1280,BARLEY,PRODUCTION,1919-8182
3316,Dhading,200,BARLEY,PRODUCTION,1919-8182
3317,Dhankuta,30,BARLEY,PRODUCTION,1919-8182
3318,Dhanusa,610,BARLEY,PRODUCTION,1919-8182
3319,Dolakha,70,BARLEY,PRODUCTION,1919-8182
3320,Dolpa,430,BARLEY,PRODUCTION,1919-8182
3321,Doti,360,BARLEY,PRODUCTION,1919-8182
3322,Gorkha,220,BARLEY,PRODUCTION,1919-8182
3323,Gulmi,400,BARLEY,PRODUCTION,1919-8182
3324,Humla,120,BARLEY,PRODUCTION,1919-8182
3325,Ilam,10,BARLEY,PRODUCTION,1919-8182
3326,Jajarkot,640,BARLEY,PRODUCTION,1919-8182
3327,Jhapa,40,BARLEY,PRODUCTION,1919-8182
3328,Jumla,990,BARLEY,PRODUCTION,1919-8182
3329,Kailali,30,BARLEY,PRODUCTION,1919-8182
3330,Kalikot,610,BARLEY,PRODUCTION,1919-8182
3331,Kanchanpur,200,BARLEY,PRODUCTION,1919-8182
3332,Kapilbastu,160,BARLEY,PRODUCTION,1919-8182
3333,Kaski,100,BARLEY,PRODUCTION,1919-8182
3334,Kathmandu,40,BARLEY,PRODUCTION,1919-8182
3335,Kavre,40,BARLEY,PRODUCTION,1919-8182
3336,Khotang,130,BARLEY,PRODUCTION,1919-8182
3337,Lalitpur,30,BARLEY,PRODUCTION,1919-8182
3338,Lamjung,200,BARLEY,PRODUCTION,1919-8182
3339,Mahottari,550,BARLEY,PRODUCTION,1919-8182
3340,Makwanpur,160,BARLEY,PRODUCTION,1919-8182
3341,Manang,600,BARLEY,PRODUCTION,1919-8182
3342,Morang,80,BARLEY,PRODUCTION,1919-8182
3343,Mugu,800,BARLEY,PRODUCTION,1919-8182
3344,Mustang,900,BARLEY,PRODUCTION,1919-8182
3345,Myagdi,210,BARLEY,PRODUCTION,1919-8182
3346,Nawalparasi,90,BARLEY,PRODUCTION,1919-8182
3347,Nuwakot,70,BARLEY,PRODUCTION,1919-8182
3348,Okhaldhunga,70,BARLEY,PRODUCTION,1919-8182
3349,Palpa,40,BARLEY,PRODUCTION,1919-8182
3350,Panchthar,40,BARLEY,PRODUCTION,1919-8182
3351,Parbat,210,BARLEY,PRODUCTION,1919-8182
3352,Parsa,310,BARLEY,PRODUCTION,1919-8182
3353,Pyuthan,130,BARLEY,PRODUCTION,1919-8182
3354,Ramechhap,70,BARLEY,PRODUCTION,1919-8182
3355,Rasuwa,320,BARLEY,PRODUCTION,1919-8182
3356,Rautahat,2160,BARLEY,PRODUCTION,1919-8182
3357,Rolpa,390,BARLEY,PRODUCTION,1919-8182
3358,Rukum,550,BARLEY,PRODUCTION,1919-8182
3359,Rupandehi,110,BARLEY,PRODUCTION,1919-8182
3360,Salyan,1140,BARLEY,PRODUCTION,1919-8182
3361,Sankhuwasabha,220,BARLEY,PRODUCTION,1919-8182
3362,Saptari,60,BARLEY,PRODUCTION,1919-8182
3363,Sarlahi,230,BARLEY,PRODUCTION,1919-8182
3364,Sindhuli,190,BARLEY,PRODUCTION,1919-8182
3365,Sindhupalchok,240,BARLEY,PRODUCTION,1919-8182
3366,Siraha,30,BARLEY,PRODUCTION,1919-8182
3367,Solukhumbu,500,BARLEY,PRODUCTION,1919-8182
3368,Sunsari,40,BARLEY,PRODUCTION,1919-8182
3369,Surkhet,1050,BARLEY,PRODUCTION,1919-8182
3370,Syangja,30,BARLEY,PRODUCTION,1919-8182
3371,Tanahu,50,BARLEY,PRODUCTION,1919-8182
3372,Taplejung,120,BARLEY,PRODUCTION,1919-8182
3373,Tehrathum,100,BARLEY,PRODUCTION,1919-8182
3374,Udayapur,30,BARLEY,PRODUCTION,1919-8182
3375,Achham,400,BARLEY,PRODUCTION,1919-8283
3376,Arghakhanchi,270,BARLEY,PRODUCTION,1919-8283
3377,Baglung,180,BARLEY,PRODUCTION,1919-8283
3378,Baitadi,340,BARLEY,PRODUCTION,1919-8283
3379,Bajhang,630,BARLEY,PRODUCTION,1919-8283
3380,Bajura,720,BARLEY,PRODUCTION,1919-8283
3381,Banke,120,BARLEY,PRODUCTION,1919-8283
3382,Bara,110,BARLEY,PRODUCTION,1919-8283
3383,Bardiya,90,BARLEY,PRODUCTION,1919-8283
3384,Bhaktapur,20,BARLEY,PRODUCTION,1919-8283
3385,Bhojpur,50,BARLEY,PRODUCTION,1919-8283
3386,Chitwan,900,BARLEY,PRODUCTION,1919-8283
3387,Dadeldhura,450,BARLEY,PRODUCTION,1919-8283
3388,Dailekh,560,BARLEY,PRODUCTION,1919-8283
3389,Dang,90,BARLEY,PRODUCTION,1919-8283
3390,Darchula,800,BARLEY,PRODUCTION,1919-8283
3391,Dhading,210,BARLEY,PRODUCTION,1919-8283
3392,Dhankuta,20,BARLEY,PRODUCTION,1919-8283
3393,Dhanusa,400,BARLEY,PRODUCTION,1919-8283
3394,Dolakha,240,BARLEY,PRODUCTION,1919-8283
3395,Dolpa,450,BARLEY,PRODUCTION,1919-8283
3396,Doti,360,BARLEY,PRODUCTION,1919-8283
3397,Gorkha,200,BARLEY,PRODUCTION,1919-8283
3398,Gulmi,210,BARLEY,PRODUCTION,1919-8283
3399,Humla,120,BARLEY,PRODUCTION,1919-8283
3400,Ilam,10,BARLEY,PRODUCTION,1919-8283
3401,Jajarkot,640,BARLEY,PRODUCTION,1919-8283
3402,Jhapa,60,BARLEY,PRODUCTION,1919-8283
3403,Jumla,880,BARLEY,PRODUCTION,1919-8283
3404,Kailali,30,BARLEY,PRODUCTION,1919-8283
3405,Kalikot,590,BARLEY,PRODUCTION,1919-8283
3406,Kanchanpur,40,BARLEY,PRODUCTION,1919-8283
3407,Kapilbastu,100,BARLEY,PRODUCTION,1919-8283
3408,Kaski,100,BARLEY,PRODUCTION,1919-8283
3409,Kathmandu,10,BARLEY,PRODUCTION,1919-8283
3410,Kavre,40,BARLEY,PRODUCTION,1919-8283
3411,Khotang,120,BARLEY,PRODUCTION,1919-8283
3412,Lalitpur,40,BARLEY,PRODUCTION,1919-8283
3413,Lamjung,200,BARLEY,PRODUCTION,1919-8283
3414,Mahottari,340,BARLEY,PRODUCTION,1919-8283
3415,Makwanpur,140,BARLEY,PRODUCTION,1919-8283
3416,Manang,530,BARLEY,PRODUCTION,1919-8283
3417,Morang,70,BARLEY,PRODUCTION,1919-8283
3418,Mugu,600,BARLEY,PRODUCTION,1919-8283
3419,Mustang,800,BARLEY,PRODUCTION,1919-8283
3420,Myagdi,240,BARLEY,PRODUCTION,1919-8283
3421,Nawalparasi,50,BARLEY,PRODUCTION,1919-8283
3422,Nuwakot,40,BARLEY,PRODUCTION,1919-8283
3423,Okhaldhunga,80,BARLEY,PRODUCTION,1919-8283
3424,Palpa,200,BARLEY,PRODUCTION,1919-8283
3425,Panchthar,150,BARLEY,PRODUCTION,1919-8283
3426,Parbat,260,BARLEY,PRODUCTION,1919-8283
3427,Parsa,300,BARLEY,PRODUCTION,1919-8283
3428,Pyuthan,160,BARLEY,PRODUCTION,1919-8283
3429,Ramechhap,90,BARLEY,PRODUCTION,1919-8283
3430,Rasuwa,400,BARLEY,PRODUCTION,1919-8283
3431,Rautahat,740,BARLEY,PRODUCTION,1919-8283
3432,Rolpa,390,BARLEY,PRODUCTION,1919-8283
3433,Rukum,560,BARLEY,PRODUCTION,1919-8283
3434,Rupandehi,100,BARLEY,PRODUCTION,1919-8283
3435,Salyan,1000,BARLEY,PRODUCTION,1919-8283
3436,Sankhuwasabha,240,BARLEY,PRODUCTION,1919-8283
3437,Saptari,50,BARLEY,PRODUCTION,1919-8283
3438,Sarlahi,230,BARLEY,PRODUCTION,1919-8283
3439,Sindhuli,200,BARLEY,PRODUCTION,1919-8283
3440,Sindhupalchok,320,BARLEY,PRODUCTION,1919-8283
3441,Siraha,30,BARLEY,PRODUCTION,1919-8283
3442,Solukhumbu,490,BARLEY,PRODUCTION,1919-8283
3443,Sunsari,40,BARLEY,PRODUCTION,1919-8283
3444,Surkhet,1250,BARLEY,PRODUCTION,1919-8283
3445,Syangja,40,BARLEY,PRODUCTION,1919-8283
3446,Tanahu,40,BARLEY,PRODUCTION,1919-8283
3447,Taplejung,50,BARLEY,PRODUCTION,1919-8283
3448,Tehrathum,120,BARLEY,PRODUCTION,1919-8283
3449,Udayapur,20,BARLEY,PRODUCTION,1919-8283
3450,Achham,400,BARLEY,PRODUCTION,1919-8384
3451,Arghakhanchi,270,BARLEY,PRODUCTION,1919-8384
3452,Baglung,130,BARLEY,PRODUCTION,1919-8384
3453,Baitadi,500,BARLEY,PRODUCTION,1919-8384
3454,Bajhang,630,BARLEY,PRODUCTION,1919-8384
3455,Bajura,570,BARLEY,PRODUCTION,1919-8384
3456,Banke,80,BARLEY,PRODUCTION,1919-8384
3457,Bara,120,BARLEY,PRODUCTION,1919-8384
3458,Bardiya,40,BARLEY,PRODUCTION,1919-8384
3459,Bhaktapur,20,BARLEY,PRODUCTION,1919-8384
3460,Bhojpur,50,BARLEY,PRODUCTION,1919-8384
3461,Chitwan,100,BARLEY,PRODUCTION,1919-8384
3462,Dadeldhura,650,BARLEY,PRODUCTION,1919-8384
3463,Dailekh,500,BARLEY,PRODUCTION,1919-8384
3464,Dang,90,BARLEY,PRODUCTION,1919-8384
3465,Darchula,800,BARLEY,PRODUCTION,1919-8384
3466,Dhading,270,BARLEY,PRODUCTION,1919-8384
3467,Dhankuta,20,BARLEY,PRODUCTION,1919-8384
3468,Dhanusa,410,BARLEY,PRODUCTION,1919-8384
3469,Dolakha,240,BARLEY,PRODUCTION,1919-8384
3470,Dolpa,450,BARLEY,PRODUCTION,1919-8384
3471,Doti,360,BARLEY,PRODUCTION,1919-8384
3472,Gorkha,200,BARLEY,PRODUCTION,1919-8384
3473,Gulmi,110,BARLEY,PRODUCTION,1919-8384
3474,Humla,130,BARLEY,PRODUCTION,1919-8384
3475,Ilam,60,BARLEY,PRODUCTION,1919-8384
3476,Jajarkot,640,BARLEY,PRODUCTION,1919-8384
3477,Jhapa,10,BARLEY,PRODUCTION,1919-8384
3478,Jumla,990,BARLEY,PRODUCTION,1919-8384
3479,Kailali,100,BARLEY,PRODUCTION,1919-8384
3480,Kalikot,620,BARLEY,PRODUCTION,1919-8384
3481,Kanchanpur,150,BARLEY,PRODUCTION,1919-8384
3482,Kapilbastu,100,BARLEY,PRODUCTION,1919-8384
3483,Kaski,50,BARLEY,PRODUCTION,1919-8384
3484,Kathmandu,10,BARLEY,PRODUCTION,1919-8384
3485,Kavre,300,BARLEY,PRODUCTION,1919-8384
3486,Khotang,130,BARLEY,PRODUCTION,1919-8384
3487,Lalitpur,40,BARLEY,PRODUCTION,1919-8384
3488,Lamjung,200,BARLEY,PRODUCTION,1919-8384
3489,Mahottari,460,BARLEY,PRODUCTION,1919-8384
3490,Makwanpur,240,BARLEY,PRODUCTION,1919-8384
3491,Manang,530,BARLEY,PRODUCTION,1919-8384
3492,Morang,70,BARLEY,PRODUCTION,1919-8384
3493,Mugu,600,BARLEY,PRODUCTION,1919-8384
3494,Mustang,800,BARLEY,PRODUCTION,1919-8384
3495,Myagdi,240,BARLEY,PRODUCTION,1919-8384
3496,Nawalparasi,70,BARLEY,PRODUCTION,1919-8384
3497,Nuwakot,90,BARLEY,PRODUCTION,1919-8384
3498,Okhaldhunga,80,BARLEY,PRODUCTION,1919-8384
3499,Palpa,300,BARLEY,PRODUCTION,1919-8384
3500,Panchthar,240,BARLEY,PRODUCTION,1919-8384
3501,Parbat,260,BARLEY,PRODUCTION,1919-8384
3502,Parsa,300,BARLEY,PRODUCTION,1919-8384
3503,Pyuthan,160,BARLEY,PRODUCTION,1919-8384
3504,Ramechhap,300,BARLEY,PRODUCTION,1919-8384
3505,Rasuwa,100,BARLEY,PRODUCTION,1919-8384
3506,Rautahat,2050,BARLEY,PRODUCTION,1919-8384
3507,Rolpa,390,BARLEY,PRODUCTION,1919-8384
3508,Rukum,560,BARLEY,PRODUCTION,1919-8384
3509,Rupandehi,110,BARLEY,PRODUCTION,1919-8384
3510,Salyan,900,BARLEY,PRODUCTION,1919-8384
3511,Sankhuwasabha,240,BARLEY,PRODUCTION,1919-8384
3512,Saptari,50,BARLEY,PRODUCTION,1919-8384
3513,Sarlahi,350,BARLEY,PRODUCTION,1919-8384
3514,Sindhuli,360,BARLEY,PRODUCTION,1919-8384
3515,Sindhupalchok,280,BARLEY,PRODUCTION,1919-8384
3516,Siraha,30,BARLEY,PRODUCTION,1919-8384
3517,Solukhumbu,500,BARLEY,PRODUCTION,1919-8384
3518,Sunsari,40,BARLEY,PRODUCTION,1919-8384
3519,Surkhet,750,BARLEY,PRODUCTION,1919-8384
3520,Syangja,40,BARLEY,PRODUCTION,1919-8384
3521,Tanahu,40,BARLEY,PRODUCTION,1919-8384
3522,Taplejung,60,BARLEY,PRODUCTION,1919-8384
3523,Tehrathum,120,BARLEY,PRODUCTION,1919-8384
3524,Udayapur,20,BARLEY,PRODUCTION,1919-8384
3525,Achham,650,BARLEY,PRODUCTION,1919-8485
3526,Arghakhanchi,240,BARLEY,PRODUCTION,1919-8485
3527,Baglung,240,BARLEY,PRODUCTION,1919-8485
3528,Baitadi,360,BARLEY,PRODUCTION,1919-8485
3529,Bajhang,730,BARLEY,PRODUCTION,1919-8485
3530,Bajura,730,BARLEY,PRODUCTION,1919-8485
3531,Banke,90,BARLEY,PRODUCTION,1919-8485
3532,Bara,420,BARLEY,PRODUCTION,1919-8485
3533,Bardiya,40,BARLEY,PRODUCTION,1919-8485
3534,Bhaktapur,20,BARLEY,PRODUCTION,1919-8485
3535,Bhojpur,60,BARLEY,PRODUCTION,1919-8485
3536,Chitwan,20,BARLEY,PRODUCTION,1919-8485
3537,Dadeldhura,630,BARLEY,PRODUCTION,1919-8485
3538,Dailekh,660,BARLEY,PRODUCTION,1919-8485
3539,Dang,100,BARLEY,PRODUCTION,1919-8485
3540,Darchula,760,BARLEY,PRODUCTION,1919-8485
3541,Dhading,290,BARLEY,PRODUCTION,1919-8485
3542,Dhankuta,40,BARLEY,PRODUCTION,1919-8485
3543,Dhanusa,130,BARLEY,PRODUCTION,1919-8485
3544,Dolakha,220,BARLEY,PRODUCTION,1919-8485
3545,Dolpa,400,BARLEY,PRODUCTION,1919-8485
3546,Doti,400,BARLEY,PRODUCTION,1919-8485
3547,Gorkha,200,BARLEY,PRODUCTION,1919-8485
3548,Gulmi,190,BARLEY,PRODUCTION,1919-8485
3549,Humla,290,BARLEY,PRODUCTION,1919-8485
3550,Ilam,70,BARLEY,PRODUCTION,1919-8485
3551,Jajarkot,700,BARLEY,PRODUCTION,1919-8485
3552,Jhapa,10,BARLEY,PRODUCTION,1919-8485
3553,Jumla,1080,BARLEY,PRODUCTION,1919-8485
3554,Kailali,190,BARLEY,PRODUCTION,1919-8485
3555,Kalikot,770,BARLEY,PRODUCTION,1919-8485
3556,Kanchanpur,250,BARLEY,PRODUCTION,1919-8485
3557,Kapilbastu,40,BARLEY,PRODUCTION,1919-8485
3558,Kaski,40,BARLEY,PRODUCTION,1919-8485
3559,Kathmandu,10,BARLEY,PRODUCTION,1919-8485
3560,Kavre,300,BARLEY,PRODUCTION,1919-8485
3561,Khotang,100,BARLEY,PRODUCTION,1919-8485
3562,Lalitpur,20,BARLEY,PRODUCTION,1919-8485
3563,Lamjung,180,BARLEY,PRODUCTION,1919-8485
3564,Mahottari,110,BARLEY,PRODUCTION,1919-8485
3565,Makwanpur,540,BARLEY,PRODUCTION,1919-8485
3566,Manang,630,BARLEY,PRODUCTION,1919-8485
3567,Morang,40,BARLEY,PRODUCTION,1919-8485
3568,Mugu,880,BARLEY,PRODUCTION,1919-8485
3569,Mustang,850,BARLEY,PRODUCTION,1919-8485
3570,Myagdi,230,BARLEY,PRODUCTION,1919-8485
3571,Nawalparasi,40,BARLEY,PRODUCTION,1919-8485
3572,Nuwakot,40,BARLEY,PRODUCTION,1919-8485
3573,Okhaldhunga,100,BARLEY,PRODUCTION,1919-8485
3574,Palpa,180,BARLEY,PRODUCTION,1919-8485
3575,Panchthar,410,BARLEY,PRODUCTION,1919-8485
3576,Parbat,270,BARLEY,PRODUCTION,1919-8485
3577,Parsa,160,BARLEY,PRODUCTION,1919-8485
3578,Pyuthan,290,BARLEY,PRODUCTION,1919-8485
3579,Ramechhap,290,BARLEY,PRODUCTION,1919-8485
3580,Rasuwa,110,BARLEY,PRODUCTION,1919-8485
3581,Rautahat,1800,BARLEY,PRODUCTION,1919-8485
3582,Rolpa,480,BARLEY,PRODUCTION,1919-8485
3583,Rukum,680,BARLEY,PRODUCTION,1919-8485
3584,Rupandehi,30,BARLEY,PRODUCTION,1919-8485
3585,Salyan,860,BARLEY,PRODUCTION,1919-8485
3586,Sankhuwasabha,250,BARLEY,PRODUCTION,1919-8485
3587,Saptari,40,BARLEY,PRODUCTION,1919-8485
3588,Sarlahi,230,BARLEY,PRODUCTION,1919-8485
3589,Sindhuli,270,BARLEY,PRODUCTION,1919-8485
3590,Sindhupalchok,320,BARLEY,PRODUCTION,1919-8485
3591,Siraha,20,BARLEY,PRODUCTION,1919-8485
3592,Solukhumbu,470,BARLEY,PRODUCTION,1919-8485
3593,Sunsari,40,BARLEY,PRODUCTION,1919-8485
3594,Surkhet,810,BARLEY,PRODUCTION,1919-8485
3595,Syangja,40,BARLEY,PRODUCTION,1919-8485
3596,Tanahu,40,BARLEY,PRODUCTION,1919-8485
3597,Taplejung,100,BARLEY,PRODUCTION,1919-8485
3598,Tehrathum,120,BARLEY,PRODUCTION,1919-8485
3599,Udayapur,20,BARLEY,PRODUCTION,1919-8485
3600,Achham,720,BARLEY,PRODUCTION,1919-8586
3601,Arghakhanchi,180,BARLEY,PRODUCTION,1919-8586
3602,Baglung,190,BARLEY,PRODUCTION,1919-8586
3603,Baitadi,350,BARLEY,PRODUCTION,1919-8586
3604,Bajhang,730,BARLEY,PRODUCTION,1919-8586
3605,Bajura,750,BARLEY,PRODUCTION,1919-8586
3606,Banke,90,BARLEY,PRODUCTION,1919-8586
3607,Bara,160,BARLEY,PRODUCTION,1919-8586
3608,Bardiya,40,BARLEY,PRODUCTION,1919-8586
3609,Bhaktapur,10,BARLEY,PRODUCTION,1919-8586
3610,Bhojpur,70,BARLEY,PRODUCTION,1919-8586
3611,Chitwan,240,BARLEY,PRODUCTION,1919-8586
3612,Dadeldhura,560,BARLEY,PRODUCTION,1919-8586
3613,Dailekh,750,BARLEY,PRODUCTION,1919-8586
3614,Dang,140,BARLEY,PRODUCTION,1919-8586
3615,Darchula,750,BARLEY,PRODUCTION,1919-8586
3616,Dhading,340,BARLEY,PRODUCTION,1919-8586
3617,Dhankuta,40,BARLEY,PRODUCTION,1919-8586
3618,Dhanusa,410,BARLEY,PRODUCTION,1919-8586
3619,Dolakha,240,BARLEY,PRODUCTION,1919-8586
3620,Dolpa,380,BARLEY,PRODUCTION,1919-8586
3621,Doti,400,BARLEY,PRODUCTION,1919-8586
3622,Gorkha,190,BARLEY,PRODUCTION,1919-8586
3623,Gulmi,140,BARLEY,PRODUCTION,1919-8586
3624,Humla,250,BARLEY,PRODUCTION,1919-8586
3625,Ilam,90,BARLEY,PRODUCTION,1919-8586
3626,Jajarkot,650,BARLEY,PRODUCTION,1919-8586
3627,Jhapa,10,BARLEY,PRODUCTION,1919-8586
3628,Jumla,1400,BARLEY,PRODUCTION,1919-8586
3629,Kailali,270,BARLEY,PRODUCTION,1919-8586
3630,Kalikot,540,BARLEY,PRODUCTION,1919-8586
3631,Kanchanpur,240,BARLEY,PRODUCTION,1919-8586
3632,Kapilbastu,30,BARLEY,PRODUCTION,1919-8586
3633,Kaski,50,BARLEY,PRODUCTION,1919-8586
3634,Kathmandu,10,BARLEY,PRODUCTION,1919-8586
3635,Kavre,280,BARLEY,PRODUCTION,1919-8586
3636,Khotang,240,BARLEY,PRODUCTION,1919-8586
3637,Lalitpur,40,BARLEY,PRODUCTION,1919-8586
3638,Lamjung,200,BARLEY,PRODUCTION,1919-8586
3639,Mahottari,120,BARLEY,PRODUCTION,1919-8586
3640,Makwanpur,420,BARLEY,PRODUCTION,1919-8586
3641,Manang,600,BARLEY,PRODUCTION,1919-8586
3642,Morang,70,BARLEY,PRODUCTION,1919-8586
3643,Mugu,880,BARLEY,PRODUCTION,1919-8586
3644,Mustang,850,BARLEY,PRODUCTION,1919-8586
3645,Myagdi,180,BARLEY,PRODUCTION,1919-8586
3646,Nawalparasi,30,BARLEY,PRODUCTION,1919-8586
3647,Nuwakot,50,BARLEY,PRODUCTION,1919-8586
3648,Okhaldhunga,100,BARLEY,PRODUCTION,1919-8586
3649,Palpa,210,BARLEY,PRODUCTION,1919-8586
3650,Panchthar,400,BARLEY,PRODUCTION,1919-8586
3651,Parbat,190,BARLEY,PRODUCTION,1919-8586
3652,Parsa,80,BARLEY,PRODUCTION,1919-8586
3653,Pyuthan,280,BARLEY,PRODUCTION,1919-8586
3654,Ramechhap,290,BARLEY,PRODUCTION,1919-8586
3655,Rasuwa,180,BARLEY,PRODUCTION,1919-8586
3656,Rautahat,700,BARLEY,PRODUCTION,1919-8586
3657,Rolpa,1120,BARLEY,PRODUCTION,1919-8586
3658,Rukum,880,BARLEY,PRODUCTION,1919-8586
3659,Rupandehi,40,BARLEY,PRODUCTION,1919-8586
3660,Salyan,820,BARLEY,PRODUCTION,1919-8586
3661,Sankhuwasabha,230,BARLEY,PRODUCTION,1919-8586
3662,Saptari,60,BARLEY,PRODUCTION,1919-8586
3663,Sarlahi,230,BARLEY,PRODUCTION,1919-8586
3664,Sindhuli,190,BARLEY,PRODUCTION,1919-8586
3665,Sindhupalchok,280,BARLEY,PRODUCTION,1919-8586
3666,Siraha,20,BARLEY,PRODUCTION,1919-8586
3667,Solukhumbu,500,BARLEY,PRODUCTION,1919-8586
3668,Sunsari,40,BARLEY,PRODUCTION,1919-8586
3669,Surkhet,850,BARLEY,PRODUCTION,1919-8586
3670,Syangja,50,BARLEY,PRODUCTION,1919-8586
3671,Tanahu,30,BARLEY,PRODUCTION,1919-8586
3672,Taplejung,120,BARLEY,PRODUCTION,1919-8586
3673,Tehrathum,140,BARLEY,PRODUCTION,1919-8586
3674,Udayapur,30,BARLEY,PRODUCTION,1919-8586
3675,Achham,550,BARLEY,PRODUCTION,1919-8687
3676,Arghakhanchi,150,BARLEY,PRODUCTION,1919-8687
3677,Baglung,200,BARLEY,PRODUCTION,1919-8687
3678,Baitadi,580,BARLEY,PRODUCTION,1919-8687
3679,Bajhang,800,BARLEY,PRODUCTION,1919-8687
3680,Bajura,630,BARLEY,PRODUCTION,1919-8687
3681,Banke,50,BARLEY,PRODUCTION,1919-8687
3682,Bara,160,BARLEY,PRODUCTION,1919-8687
3683,Bardiya,40,BARLEY,PRODUCTION,1919-8687
3684,Bhaktapur,10,BARLEY,PRODUCTION,1919-8687
3685,Bhojpur,80,BARLEY,PRODUCTION,1919-8687
3686,Chitwan,320,BARLEY,PRODUCTION,1919-8687
3687,Dadeldhura,590,BARLEY,PRODUCTION,1919-8687
3688,Dailekh,810,BARLEY,PRODUCTION,1919-8687
3689,Dang,120,BARLEY,PRODUCTION,1919-8687
3690,Darchula,740,BARLEY,PRODUCTION,1919-8687
3691,Dhading,380,BARLEY,PRODUCTION,1919-8687
3692,Dhankuta,20,BARLEY,PRODUCTION,1919-8687
3693,Dhanusa,440,BARLEY,PRODUCTION,1919-8687
3694,Dolakha,250,BARLEY,PRODUCTION,1919-8687
3695,Dolpa,430,BARLEY,PRODUCTION,1919-8687
3696,Doti,340,BARLEY,PRODUCTION,1919-8687
3697,Gorkha,170,BARLEY,PRODUCTION,1919-8687
3698,Gulmi,200,BARLEY,PRODUCTION,1919-8687
3699,Humla,230,BARLEY,PRODUCTION,1919-8687
3700,Ilam,110,BARLEY,PRODUCTION,1919-8687
3701,Jajarkot,690,BARLEY,PRODUCTION,1919-8687
3702,Jhapa,10,BARLEY,PRODUCTION,1919-8687
3703,Jumla,1500,BARLEY,PRODUCTION,1919-8687
3704,Kailali,280,BARLEY,PRODUCTION,1919-8687
3705,Kalikot,550,BARLEY,PRODUCTION,1919-8687
3706,Kanchanpur,250,BARLEY,PRODUCTION,1919-8687
3707,Kapilbastu,90,BARLEY,PRODUCTION,1919-8687
3708,Kaski,60,BARLEY,PRODUCTION,1919-8687
3709,Kathmandu,10,BARLEY,PRODUCTION,1919-8687
3710,Kavre,300,BARLEY,PRODUCTION,1919-8687
3711,Khotang,250,BARLEY,PRODUCTION,1919-8687
3712,Lalitpur,30,BARLEY,PRODUCTION,1919-8687
3713,Lamjung,220,BARLEY,PRODUCTION,1919-8687
3714,Mahottari,130,BARLEY,PRODUCTION,1919-8687
3715,Makwanpur,450,BARLEY,PRODUCTION,1919-8687
3716,Manang,590,BARLEY,PRODUCTION,1919-8687
3717,Morang,80,BARLEY,PRODUCTION,1919-8687
3718,Mugu,950,BARLEY,PRODUCTION,1919-8687
3719,Mustang,870,BARLEY,PRODUCTION,1919-8687
3720,Myagdi,240,BARLEY,PRODUCTION,1919-8687
3721,Nawalparasi,50,BARLEY,PRODUCTION,1919-8687
3722,Nuwakot,40,BARLEY,PRODUCTION,1919-8687
3723,Okhaldhunga,100,BARLEY,PRODUCTION,1919-8687
3724,Palpa,300,BARLEY,PRODUCTION,1919-8687
3725,Panchthar,430,BARLEY,PRODUCTION,1919-8687
3726,Parbat,230,BARLEY,PRODUCTION,1919-8687
3727,Parsa,90,BARLEY,PRODUCTION,1919-8687
3728,Pyuthan,300,BARLEY,PRODUCTION,1919-8687
3729,Ramechhap,290,BARLEY,PRODUCTION,1919-8687
3730,Rasuwa,300,BARLEY,PRODUCTION,1919-8687
3731,Rautahat,750,BARLEY,PRODUCTION,1919-8687
3732,Rolpa,1240,BARLEY,PRODUCTION,1919-8687
3733,Rukum,840,BARLEY,PRODUCTION,1919-8687
3734,Rupandehi,30,BARLEY,PRODUCTION,1919-8687
3735,Salyan,800,BARLEY,PRODUCTION,1919-8687
3736,Sankhuwasabha,240,BARLEY,PRODUCTION,1919-8687
3737,Saptari,70,BARLEY,PRODUCTION,1919-8687
3738,Sarlahi,250,BARLEY,PRODUCTION,1919-8687
3739,Sindhuli,210,BARLEY,PRODUCTION,1919-8687
3740,Sindhupalchok,300,BARLEY,PRODUCTION,1919-8687
3741,Siraha,30,BARLEY,PRODUCTION,1919-8687
3742,Solukhumbu,490,BARLEY,PRODUCTION,1919-8687
3743,Sunsari,40,BARLEY,PRODUCTION,1919-8687
3744,Surkhet,950,BARLEY,PRODUCTION,1919-8687
3745,Syangja,50,BARLEY,PRODUCTION,1919-8687
3746,Tanahu,20,BARLEY,PRODUCTION,1919-8687
3747,Taplejung,130,BARLEY,PRODUCTION,1919-8687
3748,Tehrathum,110,BARLEY,PRODUCTION,1919-8687
3749,Udayapur,40,BARLEY,PRODUCTION,1919-8687
3750,Achham,570,BARLEY,PRODUCTION,1919-8788
3751,Arghakhanchi,540,BARLEY,PRODUCTION,1919-8788
